,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType.is_FSBA,newConstructionType,listingSubType.is_newHome,listingSubType.is_openHouse
0,,SINGLE_FAMILY,,"12 Barchester Cres, Whitby, ON L1M 2L7",-1,825000,,-78.94678,43.967358,,FOR_SALE,2062632708,https://photos.zillowstatic.com/fp/9dabeebd2e1d052ae915356e728893ef-p_e.jpg,,2,,CAN,CAD,3,True,True,,,
1,,SINGLE_FAMILY,,"100 Erickson Dr, Whitby, ON L1N 8V2",-1,1599000,,,,,FOR_SALE,2066771602,https://photos.zillowstatic.com/fp/0ec85b2f437dd157c353a02de721bdbb-p_e.jpg,,4,,CAN,CAD,5,True,True,,,
2,,SINGLE_FAMILY,,"71 Watford St, Whitby, ON L1M 1E4",-1,1399900,,-78.94887,43.961376,,FOR_SALE,2062644516,https://photos.zillowstatic.com/fp/06d3373f06e6beb56a97b9d33b4d219f-p_e.jpg,,4,,CAN,CAD,4,True,True,,,
3,,SINGLE_FAMILY,,"105 Applewood Cres, Whitby, ON L1N 2E5",-1,1099000,,-78.90832,43.879932,,FOR_SALE,2062651509,https://photos.zillowstatic.com/fp/a28613e11ccfbbd449a8f4b32b77b58b-p_e.jpg,,4,,CAN,CAD,4,True,True,,,
4,,SINGLE_FAMILY,,"503 Annes St, Whitby, ON L1N 5K5",-1,899900,,-78.949745,43.873066,,FOR_SALE,2062644520,https://photos.zillowstatic.com/fp/a635b2d9a3e60b01f3af62f3a6ead5df-p_e.jpg,,2,,CAN,CAD,3,True,True,,,
5,,SINGLE_FAMILY,,"806 King St, Whitby, ON L1N 5A4",-1,649000,,,,,FOR_SALE,2071802435,https://photos.zillowstatic.com/fp/ea0a930655f470c79df860792605415e-p_e.jpg,,2,,CAN,CAD,3,True,True,,,
6,,SINGLE_FAMILY,,"75 Bach Ave, Whitby, ON L1R 2P8",-1,1025000,,,,,FOR_SALE,2063080751,https://photos.zillowstatic.com/fp/0830a35e2009d1b08f70b64e6346240a-p_e.jpg,,3,,CAN,CAD,3,True,True,,,
7,,SINGLE_FAMILY,,"917 Center St, Whitby, ON L1N 4X4",-1,849000,,-78.940475,43.870007,,FOR_SALE,2063231504,https://photos.zillowstatic.com/fp/5e558391b5feb1448bd25f6063db1dd9-p_e.jpg,,3,,CAN,CAD,4,True,True,,,
8,,SINGLE_FAMILY,,"504 Green St, Whitby, ON L1N 4E5",-1,860000,,,,,FOR_SALE,2062944730,https://photos.zillowstatic.com/fp/87c80b93f123e3fbfc36f39771212f5f-p_e.jpg,,2,,CAN,CAD,2,True,True,,,
9,,SINGLE_FAMILY,,"94 Parnell Cres, Whitby, ON L1R 1X1",-1,1300000,,-78.941345,43.90937,,FOR_SALE,2063228683,https://photos.zillowstatic.com/fp/00505f59168aeaf00086c38da475453e-p_e.jpg,,4,,CAN,CAD,4,True,True,,,
10,,SINGLE_FAMILY,0.2969696969697,"123 Baldwin St, Whitby, ON L1M 1C3",-1,1999000,,-78.95828,43.961514,,FOR_SALE,2062698479,https://photos.zillowstatic.com/fp/e77b94906559a7f14e612c298f9f81da-p_e.jpg,4001.0,7,acres,CAN,CAD,4,True,,BUILDER_SPEC,True,
11,,SINGLE_FAMILY,5471.0,"909 Donovan Cres, Whitby, ON L1N 3G4",-1,729900,,-78.951324,43.89173,,FOR_SALE,2062736858,https://photos.zillowstatic.com/fp/b0e0e7d3660372a995304b2ada00afe4-p_e.jpg,,2,sqft,CAN,CAD,3,True,True,,,
12,,SINGLE_FAMILY,,"9 Chipperfield Cres, Whitby, ON L1R 1M4",-1,988888,,,,,FOR_SALE,2071825825,https://photos.zillowstatic.com/fp/90d3d5070d8fc704eaf78e93ce9b4695-p_e.jpg,,4,,CAN,CAD,4,True,True,,,
13,,SINGLE_FAMILY,,"56 Regatta Cres, Whitby, ON L1N 9V3",-1,899000,,-78.948326,43.858727,,FOR_SALE,2062651502,https://photos.zillowstatic.com/fp/6b2b13ade725e306cb208944dcdd2e29-p_e.jpg,,3,,CAN,CAD,3,True,True,,,
14,,SINGLE_FAMILY,,"70 Winchester Rd E, Whitby, ON L1M 1B4",-1,849900,,-78.95589,43.955105,,FOR_SALE,2062937525,https://photos.zillowstatic.com/fp/fee8ec98f15ca2cca035c8e25de54c5e-p_e.jpg,,2,,CAN,CAD,3,True,True,,,
15,,SINGLE_FAMILY,,"52 Beachgrove Cres, Whitby, ON L1R 3G3",-1,899999,,,,,FOR_SALE,2062950707,https://photos.zillowstatic.com/fp/19a6bedd8d3273df06952ddbe22b3500-p_e.jpg,,4,,CAN,CAD,4,True,True,,,
16,,SINGLE_FAMILY,,"10 Charest Pl, Whitby, ON L1M 2B3",-1,999880,,-78.97338,43.95631,,FOR_SALE,2063457794,https://photos.zillowstatic.com/fp/0e34a075cdded789c7ac5d0ea8f86afb-p_e.jpg,,3,,CAN,CAD,3,True,True,,,
17,,SINGLE_FAMILY,,"5 Ault Cres, Whitby, ON L1M 2G6",-1,799888,,-78.97352,43.959137,,FOR_SALE,2062663059,https://photos.zillowstatic.com/fp/a3cfd2e5a6ce89bbb8da7de4b2ea0a17-p_e.jpg,,2,,CAN,CAD,3,True,True,,,
18,,SINGLE_FAMILY,,"15 Drew Ct, Whitby, ON L1N 8X6",-1,799900,,-78.93491,43.889954,,FOR_SALE,2062664380,https://photos.zillowstatic.com/fp/f153ff0956b60da4c34a2ac1c7b4bdde-p_e.jpg,,2,,CAN,CAD,3,True,True,,,
